Change Component Designator: Old Designator=C4 New Designator=C?
Change Component Designator: Old Designator=D6 New Designator=D?
Change Component Designator: Old Designator=D6 New Designator=D?
Change Component Designator: Old Designator=J1 New Designator=J?
Change Component Designator: Old Designator=J1 New Designator=J?
Change Component Designator: Old Designator=J1 New Designator=J?
Change Component Designator: Old Designator=J3 New Designator=J?
Change Component Designator: Old Designator=J3 New Designator=J?
Change Component Designator: Old Designator=Q1 New Designator=Q?
Change Component Designator: Old Designator=Q1 New Designator=Q?
Change Component Designator: Old Designator=R4 New Designator=R?
Change Component Designator: Old Designator=R4 New Designator=R?
